item_id,block,query,candidate_a,Score: Surface,Score: Structure,Score: Confidence,candidate_b,Score: Surface,Score: Structure,Score: Confidence
49,C,"My brother-in-law claims he 'burns everything' and can never cook for family gatherings. He's a trained chef who owned a restaurant. He cooked there for twenty years. Yet at Thanksgiving, he sits while the rest of us prepare food because he's 'just hopeless in the kitchen.'",My brother-in-law genuinely struggles in the kitchen—he once started a small fire making toast. He tried cooking for Thanksgiving years ago and the turkey was raw inside. Now he handles cleanup and table-setting instead. His contribution is real; cooking just isn't his skill despite wanting to help.,5,1,5,The senior engineer insisted she couldn't understand the new project management software despite weeks of training. I handled all our team's scheduling. Then I saw her consulting portfolio—she'd trained other companies on that exact software. Her confusion had an hourly rate.,1,5,5
50,C,"My ex-husband, who I blamed for everything, wrote a letter to the custody mediator supporting my parenting abilities. My own mother, who I trusted completely, had been telling the mediator I was unstable. The man I'd demonized defended me while my mother tried to take my children.","The ruthless competitor who'd been trying to acquire my company warned me about a critical regulatory change that would affect my main product. Meanwhile, my trusted corporate lawyer—who I later learned was also representing that same competitor—had been slow-walking my compliance filings. The rival I feared saved me while my own counsel was sabotaging me.",1,5,5,"During the custody dispute, my ex-husband fought for maximum time while my mother supported me, testifying to my parenting abilities and providing childcare. Both behaved as their relationships to me would predict.",5,1,5
51,C,"The church secretary kept finding 'accounting errors' that only she could fix, working late nights to correct them. She was celebrated for her dedication. An external audit found she'd been creating the errors herself—moving decimal points, then 'catching' them. She wanted to feel indispensable.","My uncle the plumber kept discovering pipe problems in his elderly mother's house that required his expertise. The family praised how devoted he was, always rushing over to save the day. After he died, another plumber found the pipes in perfect condition with fresh tool marks where 'problems' had been created. He'd manufactured emergencies so everyone would see him as indispensable.",1,5,5,The church secretary regularly found accounting errors made by volunteers and corrected them diligently. An external audit confirmed her catches were legitimate—volunteers had indeed made those mistakes. Her careful work saved the church from actual financial discrepancies.,5,2,5
52,C,"My friend said her electricity was being shut off and she needed $500 immediately or her children would freeze. I emptied my emergency fund. A week later, she admitted her power was never at risk—she wanted to know if I was 'a real friend.' She returned the money, proud of my response.",My grandfather claimed the family farm was being foreclosed and only I could save it by moving back home. I quit my job and relocated. The farm was never in danger—he wanted to test whether I'd 'choose family over career.' He called my sacrifice 'the right answer.',1,4,5,My friend called saying her electricity was being shut off and she needed $500 immediately for her children. I lent her the money. Later I saw the shutoff notice—it was real. She paid me back over the next few months as she got back on her feet. The need was genuine.,5,2,5
53,C,My family knew my fiancé had cheated during our engagement but hid it to 'let me enjoy my wedding.' I found out two years and one child later. The marriage I might have reconsidered became a divorce that devastated my daughter. Their gift of a perfect wedding day cost me years of my life.,"My veterinarian suspected my dog had a terminal condition but didn't tell me because I 'seemed attached.' By the time symptoms were undeniable, we'd missed the window for treatment that could have given us two more years. His kindness stole time I can never recover.",1,4,5,"My brother told me immediately that Dad's diagnosis was serious. I didn't want to hear it, but his insistence on facing it together helped us make the most of the time we had.",1,1,5
54,C,"I lost the election for class president—devastatingly, publicly. The humiliation forced me to examine why I'd wanted the title rather than the responsibility. That self-reflection led me to therapy, then to psychology studies, then to a career helping others through transformative moments. Losing gave me my calling.",I got into my first-choice graduate program and completed my degree along the path I'd planned. The work was hard but the trajectory matched my expectations. I'm now established in the field I'd always targeted.,2,2,5,"My company's flagship product flopped spectacularly—we lost millions. While investigating why, we discovered an unexpected application in a different industry. That 'failure' became the foundation of a pivot worth ten times our original business. The crash was our launch.",1,4,5
55,C,"I couldn't stand the new transfer student—she was loud, opinionated, and challenged everything I said. Then our debate team was stranded overnight when the bus broke down. Stuck in a diner until 3 AM, we discovered we'd grown up in the same neighborhood, lost parents young, and used arguing to hide vulnerability. She was my maid of honor.",I immediately liked the new transfer student—we had similar interests and temperaments. Our friendship developed easily through shared activities and natural compatibility. She was my maid of honor because we'd been close from the start.,5,3,5,"The union representative who'd led the strike against my management decisions and I were both hospitalized in the same small-town ER after a factory accident. Waiting together for hours while beds freed up, we talked. He'd opposed me because my efficiency measures reminded him of the layoffs that destroyed his father's career. Understanding his fear dissolved my contempt. He became my most effective collaborator on safety initiatives.",1,5,5
56,C,"My capacity for forgiveness was praised by everyone who knew me. I forgave my husband's first affair, then his second, then his financial deceptions. Friends admired my 'grace.' By the time I realized forgiveness without boundaries is just permission, I'd lost a decade and my retirement savings.","My capacity for forgiveness was praised by everyone who knew me. When my husband had his first affair, I forgave him after he showed genuine remorse. When financial deceptions came to light, I set boundaries instead of simply forgiving again. Friends noticed I'd learned to balance grace with self-protection. My strength became knowing when forgiveness was appropriate and when it wasn't.",5,2,5,"My curiosity made me a great journalist—I asked questions others wouldn't. Then I couldn't stop. I investigated friends' marriages, my children's private lives, my neighbors' finances. My need to know destroyed every relationship I had. The trait that built my career dismantled my personal life.",1,4,4
57,C,"My neighbor was the grumpiest man on the block—complained about noise, never waved, gave disapproving looks. When my house caught fire at 2 AM, he was the first one outside with blankets and water. He called his son the firefighter before the dispatcher answered. He sat with my trembling kids until dawn.","The intern we'd written off as flighty and unfocused was present when our CEO had a seizure in a meeting. While executives panicked, she calmly directed everyone, provided first aid, and coordinated with paramedics. Her scattered demeanor masked a composed crisis responder.",1,5,5,"My neighbor was the grumpiest man on the block—complained about noise, never waved, gave disapproving looks. When my house flooded during the storm, he watched from his window but didn't come over. The next day he complained that our emergency vehicles had blocked his driveway. Crisis confirmed his character.",5,2,5
58,C,"I only stopped at that bookstore because I needed to use the bathroom. While waiting, I picked up a random book—it mentioned a scholarship program I'd never heard of. That scholarship paid for my education, introduced me to my mentor, and set the trajectory of my entire career. A bathroom break changed my life.","I systematically researched scholarship opportunities, applied to dozens, and earned one through a competitive process. The scholarship paid for my education as a direct result of deliberate effort and extensive applications.",2,2,5,I mentioned to a stranger at a bus stop that I was researching silent film preservation techniques. She happened to be a documentary producer looking for a consultant on a restoration project about early cinema. That chance conversation about my obscure interest led to my second career in film preservation.,4,5,5
59,C,"I've practiced meditation daily for twenty years. When my daughter asked me to teach her, I couldn't explain why certain techniques worked. I'd been doing them mechanically, never understanding the principles. Teaching her forced me to study what I thought I'd mastered decades ago.","I've driven manual transmission cars my whole life. Trying to teach my nephew, I realized I couldn't articulate the clutch-gas relationship. My body knew, but my mind didn't. His confusion revealed that I drive by feel, not by understanding.",2,3,4,"When I tried to explain the tax code to my client, I could walk through every provision confidently. Teaching the material revealed how thoroughly I'd mastered it through years of practice.",1,2,4
60,C,"I covered for my adult son's mistakes—called his boss when he overslept, paid bills he forgot, cleaned his apartment before his dates. I thought I was being a loving mother. His therapist eventually told me I'd prevented him from developing any adult coping skills. At 35, he can't function without me.","I always defended my star employee when clients complained—softened their feedback, blamed circumstances, protected her ego. I thought I was being supportive. When she finally faced unfiltered criticism, she crumbled completely. My shielding had left her unable to handle any adversity.",1,5,5,"My adult son kept making mistakes—oversleeping, forgetting bills, leaving messes. Instead of covering for him, I stopped calling his boss and let him face consequences. He was angry at first, but eventually learned to manage his own life. My refusal to enable him forced him to grow up.",5,1,5
